trip_id,pattern_id,pattern_name
13466249,282089,N1
13466250,282089,N1
13466251,282089,N1
13466252,282089,N1
13466253,282089,N1
13466254,282089,N1
13466255,282089,N1
13466256,282089,N1
13466257,282089,N1
13466258,282089,N1
13466259,282089,N1
13466260,282089,N1
13466261,282089,N1
13466262,282089,N1
13466263,282089,N1
13466264,282089,N1
13466265,282089,N1
13466266,282089,N1
13466267,282089,N1
13466268,282089,N1
13466269,282089,N1
13466270,282089,N1
13466271,282089,N1
13466272,282089,N1
13466273,282089,N1
13466274,282089,N1
13466275,282089,N1
13466276,282089,N1
13466277,282089,N1
13466278,282089,N1
13466279,282089,N1
13466280,282089,N1
13466281,282089,N1
13466282,282089,N1
13466283,282089,N1
13466284,282089,N1
13466285,282089,N1
13466286,282089,N1
13466287,282089,N1
13466288,282089,N1
13466289,282089,N1
13466290,282089,N1
13466291,282089,N1
13466292,282089,N1
13466293,282089,N1
13466294,282089,N1
13466295,282089,N1
13466296,282089,N1
13466376,282089,N1
13466377,282089,N1
13466378,282089,N1
13466379,282089,N1
13466380,282089,N1
13466381,282089,N1
13466382,282089,N1
13466383,282089,N1
13466384,282089,N1
13466385,282089,N1
13466386,282089,N1
13466387,282089,N1
13466388,282089,N1
13466389,282089,N1
13466390,282089,N1
13466391,282089,N1
13466392,282089,N1
13466393,282089,N1
13466394,282089,N1
13466395,282089,N1
13466396,282089,N1
13466397,282089,N1
13466398,282089,N1
13466399,282089,N1
13466400,282089,N1
13466401,282089,N1
13466402,282089,N1
13466403,282089,N1
13466404,282089,N1
13466405,282089,N1
13466406,282089,N1
13466407,282089,N1
13466408,282089,N1
13466409,282089,N1
13466410,282089,N1
13466411,282089,N1
13466412,282089,N1
13466413,282089,N1
13466414,282089,N1
13466415,282089,N1
13466416,282089,N1
13466417,282089,N1
13466418,282089,N1
13466419,282089,N1
13466420,282089,N1
13466421,282089,N1
13466422,282089,N1
13466423,282089,N1
13466424,282089,N1
13466425,282089,N1
13466426,282089,N1
13466427,282089,N1
13466428,282089,N1
13466429,282089,N1
13466430,282089,N1
13466431,282089,N1
13466432,282089,N1
13466433,282089,N1
13466434,282089,N1
13466435,282089,N1
13466436,282089,N1
13466437,282089,N1
13466438,282089,N1
13466439,282089,N1
13466440,282089,N1
13466441,282089,N1
13466442,282089,N1
13466443,282089,N1
13466444,282089,N1
13466445,282089,N1
13466446,282089,N1
13466447,282089,N1
13466448,282089,N1
13466449,282089,N1
13466133,282091,S1
13466134,282091,S1
13466135,282091,S1
13466136,282091,S1
13466137,282091,S1
13466138,282091,S1
13466139,282091,S1
13466140,282091,S1
13466141,282091,S1
13466142,282091,S1
13466143,282091,S1
13466144,282091,S1
13466145,282091,S1
13466146,282091,S1
13466147,282091,S1
13466148,282091,S1
13466149,282091,S1
13466150,282091,S1
13466151,282091,S1
13466152,282091,S1
13466153,282091,S1
13466154,282091,S1
13466155,282091,S1
13466156,282091,S1
13466157,282091,S1
13466158,282091,S1
13466159,282091,S1
13466160,282091,S1
13466161,282091,S1
13466162,282091,S1
13466163,282091,S1
13466164,282091,S1
13466165,282091,S1
13466166,282091,S1
13466167,282091,S1
13466168,282091,S1
13466169,282091,S1
13466170,282091,S1
13466171,282091,S1
13466172,282091,S1
13466173,282091,S1
13466174,282091,S1
13466175,282091,S1
13466176,282091,S1
13466177,282091,S1
13466178,282091,S1
13466179,282091,S1
13466180,282091,S1
13466181,282091,S1
13466182,282091,S1
13466183,282091,S1
13466184,282091,S1
13466185,282091,S1
13466186,282091,S1
13466187,282091,S1
13466188,282091,S1
13466189,282091,S1
13466190,282091,S1
13466191,282091,S1
13466192,282091,S1
13466193,282091,S1
13466194,282091,S1
13466195,282091,S1
13466196,282091,S1
13466197,282091,S1
13466198,282091,S1
13466199,282091,S1
13466200,282091,S1
13466201,282091,S1
13466202,282091,S1
13466203,282091,S1
13466204,282091,S1
13466205,282091,S1
13466206,282091,S1
13466207,282091,S1
13466208,282091,S1
13466209,282091,S1
13466210,282091,S1
13466211,282091,S1
13466212,282091,S1
13466213,282091,S1
13466214,282091,S1
13466215,282091,S1
13466216,282091,S1
13466217,282091,S1
13466297,282091,S1
13466298,282091,S1
13466299,282091,S1
13466300,282091,S1
13466301,282091,S1
13466302,282091,S1
13466303,282091,S1
13466304,282091,S1
13466305,282091,S1
13466306,282091,S1
13466307,282091,S1
13466308,282091,S1
13466309,282091,S1
13466310,282091,S1
13466311,282091,S1
13466312,282091,S1
13466313,282091,S1
13466314,282091,S1
13466315,282091,S1
13466316,282091,S1
13466317,282091,S1
13466318,282091,S1
13466319,282091,S1
13466320,282091,S1
13466321,282091,S1
13466322,282091,S1
13466323,282091,S1
13466324,282091,S1
13466325,282091,S1
13466326,282091,S1
13466327,282091,S1
13466328,282091,S1
13466329,282091,S1
13466330,282091,S1
13466331,282091,S1
13466332,282091,S1
13466333,282091,S1
13466334,282091,S1
13466335,282091,S1
13466336,282091,S1
13466337,282091,S1
13466338,282091,S1
13466339,282091,S1
13466340,282091,S1
13466341,282091,S1
13466342,282091,S1
13466343,282091,S1
13466344,282091,S1
13466345,282091,S1
13466346,282091,S1
13466347,282091,S1
13466348,282091,S1
13466349,282091,S1
13466350,282091,S1
13466351,282091,S1
13466352,282091,S1
13466353,282091,S1
13466354,282091,S1
13466355,282091,S1
13466356,282091,S1
13466357,282091,S1
13466358,282091,S1
13466359,282091,S1
13466360,282091,S1
13466361,282091,S1
13466362,282091,S1
13466363,282091,S1
13466364,282091,S1
13466365,282091,S1
13466366,282091,S1
13466367,282091,S1
13466368,282091,S1
13466369,282091,S1
13466370,282091,S1
13466371,282091,S1
13466372,282091,S1
13466373,282091,S1
13466374,282091,S1
13466375,282091,S1
13466450,282091,S1
13466451,282091,S1
13466452,282091,S1
13466453,282091,S1
13466454,282091,S1
13466455,282091,S1
13466456,282091,S1
13466457,282091,S1
13466458,282091,S1
13466459,282091,S1
13466460,282091,S1
13466461,282091,S1
13466462,282091,S1
13466463,282091,S1
13466464,282091,S1
13466465,282091,S1
13466466,282091,S1
13466467,282091,S1
13466468,282091,S1
13466469,282091,S1
13466470,282091,S1
13466471,282091,S1
13466472,282091,S1
13466473,282091,S1
13466474,282091,S1
13466475,282091,S1
13466476,282091,S1
13466477,282091,S1
13466478,282091,S1
13466479,282091,S1
13466480,282091,S1
13466481,282091,S1
13466482,282091,S1
13466483,282091,S1
13466484,282091,S1
13466485,282091,S1
13466486,282091,S1
13466487,282091,S1
13466488,282091,S1
13466489,282091,S1
13466490,282091,S1
13466491,282091,S1
13466492,282091,S1
13466493,282091,S1
13466494,282091,S1
13466495,282091,S1
13466496,282091,S1
13466497,282091,S1
13466498,282091,S1
13466499,282091,S1
13466500,282091,S1
13466501,282091,S1
13466502,282091,S1
13466503,282091,S1
13466504,282091,S1
13466505,282091,S1
13466506,282091,S1
13466507,282091,S1
13466508,282091,S1
13466509,282091,S1
13466510,282091,S1
13466511,282091,S1
13466512,282091,S1
13466513,282091,S1
13466514,282091,S1
13466515,282091,S1
13466516,282091,S1
13466517,282091,S1
13466518,282091,S1
13466519,282091,S1
13466520,282091,S1
