route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6705,3,13563316,321 New West Station,,0,2065870,284063,0,1
6705,3,13563317,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563318,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563319,321 Surrey Central Station,,0,2065876,284060,0,1
6705,3,13563320,321 Surrey Central Station,,0,2065824,284060,0,1
6705,3,13563321,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563322,321 Surrey Central Station,,0,2065872,284060,0,1
6705,3,13563323,321 Surrey Central Station,,0,2065872,284060,0,1
6705,3,13563324,321 Surrey Central Station,,0,2068795,284060,0,1
6705,3,13563325,321 Surrey Central Station,,0,2065880,284060,0,1
6705,3,13563326,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563327,321 Surrey Central Station,,0,2065880,284060,0,1
6705,3,13563328,321 Surrey Central Station,,0,2065870,284060,0,1
6705,3,13563329,321 Surrey Central Station,,0,2065875,284060,0,1
6705,3,13563330,321 Surrey Central Station,,0,2065878,284060,0,1
6705,3,13563331,321 Surrey Central Station,,0,2068795,284062,0,1
6705,3,13563332,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563333,321 Surrey Central Station,,0,2065870,284062,0,1
6705,3,13563334,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563335,321 Surrey Central Station,,0,2065872,284060,0,1
6705,3,13563336,321 Surrey Central Station,,0,2065878,284062,0,1
6705,3,13563337,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563338,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563339,321 Surrey Central Station,,0,2065876,284062,0,1
6705,3,13563340,321 Surrey Central Station,,0,2065876,284060,0,1
6705,3,13563341,321 Surrey Central Station,,0,2065870,284060,0,1
6705,3,13563342,321 Surrey Central Station,,0,2065875,284060,0,1
6705,3,13563343,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563344,321 Surrey Central Station,,0,2065878,284060,0,1
6705,3,13563345,321 Surrey Central Station,,0,2065872,284062,0,1
6705,3,13563346,321 Surrey Central Station,,0,2065880,284060,0,1
6705,3,13563347,321 Surrey Central Station,,0,2065875,284060,0,1
6705,3,13563348,321 Surrey Central Station,,0,2068795,284060,0,1
6705,3,13563349,321 Surrey Central Station,,0,2065876,284060,0,1
6705,3,13563350,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563351,321 Surrey Central Station,,0,2065880,284060,0,1
6705,3,13563352,321 Surrey Central Station,,0,2068795,284060,0,1
6705,3,13563353,321 Surrey Central Station,,0,2065872,284060,0,1
6705,3,13563354,321 Surrey Central Station,,0,2065878,284060,0,1
6705,3,13563355,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563356,321 Surrey Central Station,,0,2065875,284060,0,1
6705,3,13563357,321 Surrey Central Station,,0,2065870,284060,0,1
6705,3,13563358,321 Surrey Central Station,,0,2065876,284060,0,1
6705,3,13563359,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563360,321 Surrey Central Station,,0,2065880,284060,0,1
6705,3,13563361,321 Surrey Central Station,,0,2065874,284060,0,1
6705,3,13563362,321 Surrey Central Station,,0,2065872,284060,0,1
6705,3,13563363,321 Surrey Central Station,,0,2065878,284060,0,1
6705,3,13563364,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563365,321 Surrey Central Station,,0,2065873,284060,0,1
6705,3,13563366,321 Surrey Central Station,,0,2065870,284060,0,1
6705,3,13563367,321 Surrey Central Station,,0,2065876,284060,0,1
6705,3,13563368,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563369,321 Surrey Central Station,,0,2065880,284060,0,1
6705,3,13563370,321 Surrey Central Station,,0,2068795,284060,0,1
6705,3,13563371,321 Surrey Central Station,,0,2065878,284060,0,1
6705,3,13563372,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563373,321 Surrey Central Station,,0,2065875,284060,0,1
6705,3,13563374,321 Surrey Central Station,,0,2065870,284060,0,1
6705,3,13563375,321 Surrey Central Station,,0,2065876,284060,0,1
6705,3,13563376,321 Surrey Central Station,,0,2065879,284060,0,1
6705,3,13563377,321 Surrey Central Station,,0,2065880,284060,0,1
6705,3,13563378,321 Surrey Central Station,,0,2068795,284062,0,1
6705,3,13563379,321 Surrey Central Station,,0,2065878,284060,0,1
6705,3,13563380,321 Surrey Central Station,,0,2065876,284060,0,1
6705,3,13563381,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563382,321 Surrey Central Station,,0,2065874,284060,0,1
6705,3,13563383,321 Surrey Central Station,,0,2065873,284060,0,1
6705,3,13563384,321 Surrey Central Station,,0,2068795,284060,0,1
6705,3,13563385,321 Surrey Central Station,,0,2065875,284060,0,1
6705,3,13563386,321 Surrey Central Station,,0,2065870,284062,0,1
6705,3,13563387,321 White Rock Centre,,1,2065877,284069,0,1
6705,3,13563388,321 White Rock South,,1,2068795,284068,0,1
6705,3,13563389,321 White Rock Centre,,1,2065879,284069,0,1
6705,3,13563390,321 White Rock Centre,,1,2065878,284069,0,1
6705,3,13563391,321 White Rock South,,1,2065872,284068,0,1
6705,3,13563393,321 White Rock Centre,,1,2065879,284069,0,1
6705,3,13563394,321 White Rock Centre,,1,2065877,284069,0,1
6705,3,13563395,321 White Rock Centre,,1,2065870,284070,0,1
6705,3,13563396,321 White Rock Centre,,1,2065879,284069,0,1
